Date updated:,5-Jan-23,,,,,,,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,
What is this data?,Employee Information,,,,US,,,
Home Page:,http://www.damodaran.com,,,,,,,
Data website:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/data.html,,,,,,,
Companies in each industry:,https://pages.stern.nyu.edu/~adamodar/pc/datasets/indname.xls,,,,,,,
Variable definitions:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm,,,,,,,
,,Available only for subset of firms that report employee count,,,,,All firms,
Industry Name,Number of firms,Number of Employees,Market Capitalization ( ($ millions),Revenues ($ millions),Mkt Cap per Employee ($),Revenues per Employee  ($),Stock-based Compensation ($ millions),Stock-based Compensation as % of Revenue
Advertising,58,208983," $13,174 "," $9,776 "," $63,040.70 "," $46,780.88 "," $1,183 ",2.88%
Aerospace/Defense,77,916062," $73,039 "," $24,793 "," $79,731.38 "," $27,065.25 "," $4,504 ",1.26%
Air Transport,21,467573," $53,109 "," $135,285 "," $113,585.04 "," $289,334.50 ", $842 ,0.44%
Apparel,39,258756, $86 , $527 , $330.69 ," $2,037.44 ", $649 ,0.90%
Auto & Truck,31,502913," $2,276 ", $5 ," $4,525.73 ", $10.00 ," $6,104 ",1.52%
Auto Parts,37,407224," $7,890 "," $16,445 "," $19,375.58 "," $40,383.67 ", $653 ,0.75%
Bank (Money Center),7,1047645," $904,029 "," $358,001 "," $862,915.21 "," $341,719.57 "," $9,075 ",2.38%
Banks (Regional),557,598940," $264,365 "," $80,384 "," $441,388.62 "," $134,210.44 "," $3,239 ",1.45%
Beverage (Alcoholic),23,36424, $4 , $14 , $98.84 , $389.85 , $147 ,0.52%
Beverage (Soft),31,446184, $1 , $2 , $2.09 , $4.24 , $979 ,0.63%
Broadcasting,26,104846, $-   , $-   , $-   , $-   , $578 ,0.78%
Brokerage & Investment Banking,30,232100," $481,224 "," $215,881 "," $2,073,345.54 "," $930,121.93 "," $9,355 ",3.90%
Building Materials,45,335613," $11,905 "," $12,387 "," $35,472.76 "," $36,909.48 ", $839 ,0.60%
Business & Consumer Services,164,1575512," $81,986 "," $73,379 "," $52,037.80 "," $46,574.49 "," $2,823 ",1.26%
Cable TV,10,317040, $-   , $-   , $-   , $-   ," $2,435 ",1.09%
Chemical (Basic),38,118441," $9,838 "," $6,611 "," $83,059.08 "," $55,815.55 ", $671 ,0.41%
Chemical (Diversified),4,15974, $-   , $-   , $-   , $-   , $74 ,0.43%
Chemical (Specialty),76,407872," $88,932 "," $27,863 "," $218,039.24 "," $68,312.53 "," $5,270 ",2.28%
Coal & Related Energy,19,12794, $91 , $39 ," $7,089.26 "," $3,071.75 ", $165 ,1.34%
Computer Services,80,1101086," $73,044 "," $70,741 "," $66,338.44 "," $64,246.60 "," $2,644 ",0.87%
Computers/Peripherals,42,559947," $2,124,271 "," $498,953 "," $3,793,700.48 "," $891,072.37 "," $10,997 ",1.71%
