Date updated:,5-Jan-23,,,,,,,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,
What is this data?,Employee Information,,,,China,,,
Home Page:,http://www.damodaran.com,,,,,,,
Data website:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/data.html,,,,,,,
Companies in each industry:,https://pages.stern.nyu.edu/~adamodar/pc/datasets/indname.xls,,,,,,,
Variable definitions:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm,,,,,,,
,,Available only for subset of firms that report employee count,,,,,All firms,
Industry Name,Number of firms,Number of Employees,Market Capitalization ( ($ millions),Revenues ($ millions),Mkt Cap per Employee ($),Revenues per Employee  ($),Stock-based Compensation ($ millions),Stock-based Compensation as % of Revenue
Advertising,67,61769," $2,770 "," $4,496 "," $44,836.89 "," $72,792.99 ", $34 ,0.12%
Aerospace/Defense,63,254342," $3,676 "," $8,902 "," $14,452.59 "," $35,000.90 ", $53 ,0.12%
Air Transport,17,392410," $8,475 "," $6,352 "," $21,598.07 "," $16,187.41 ", $95 ,0.21%
Apparel,212,1013524," $94,160 "," $48,538 "," $92,903.22 "," $47,890.05 ", $161 ,0.15%
Auto & Truck,34,879343," $27,264 "," $23,700 "," $31,004.74 "," $26,952.26 ", $553 ,0.18%
Auto Parts,199,755119," $9,007 "," $23,811 "," $11,928.24 "," $31,533.03 ", $202 ,0.14%
Bank (Money Center),26,2428977," $130,718 "," $48,148 "," $53,816.07 "," $19,822.46 ", $10 ,0.00%
Banks (Regional),35,243417," $25,062 "," $10,610 "," $102,958.71 "," $43,586.11 ", $-   ,0.00%
Beverage (Alcoholic),44,283398," $64,506 "," $12,359 "," $227,617.34 "," $43,610.01 ", $99 ,0.14%
Beverage (Soft),5,48402," $64,792 "," $7,849 "," $1,338,618.24 "," $162,168.92 ", $11 ,0.12%
Broadcasting,7,32465, $914 , $899 ," $28,153.40 "," $27,677.81 ", $5 ,0.19%
Brokerage & Investment Banking,105,314590," $9,063 "," $2,422 "," $28,807.43 "," $7,699.42 ", $149 ,0.16%
Building Materials,67,232909," $11,795 "," $11,081 "," $50,641.67 "," $47,577.38 ", $143 ,0.40%
Business & Consumer Services,122,197742," $7,875 "," $5,196 "," $39,825.02 "," $26,275.45 ", $44 ,0.12%
Cable TV,12,71229, $60 , $127 , $847.97 ," $1,776.52 ", $-   ,0.00%
Chemical (Basic),274,743957," $5,278 "," $12,505 "," $7,094.36 "," $16,808.74 "," $5,770 ",1.76%
Chemical (Diversified),8,45509," $1,597 "," $4,209 "," $35,087.57 "," $92,482.81 ", $8 ,0.06%
Chemical (Specialty),232,483246," $9,460 "," $15,872 "," $19,575.95 "," $32,843.93 ", $290 ,0.16%
Coal & Related Energy,36,626789," $1,937 "," $3,687 "," $3,089.88 "," $5,882.04 ", $4 ,0.00%
Computer Services,141,510033," $7,807 "," $32,206 "," $15,307.64 "," $63,144.44 ", $160 ,0.16%
