Date updated:,5-Jan-23,,,,,,,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,
What is this data?,Employee Information,,,,Europe,,,
Home Page:,http://www.damodaran.com,,,,,,,
Data website:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/data.html,,,,,,,
Companies in each industry:,https://pages.stern.nyu.edu/~adamodar/pc/datasets/indname.xls,,,,,,,
Variable definitions:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm,,,,,,,
,,Available only for subset of firms that report employee count,,,,,All firms,
Industry Name,Number of firms,Number of Employees,Market Capitalization ( ($ millions),Revenues ($ millions),Mkt Cap per Employee ($),Revenues per Employee  ($),Stock-based Compensation ($ millions),Stock-based Compensation as % of Revenue
Advertising,86,303364," $36,115 "," $37,126 "," $119,048.23 "," $122,380.07 ", $326 ,0.65%
Aerospace/Defense,56,653323," $166,139 "," $112,249 "," $254,299.02 "," $171,812.14 ", $494 ,0.27%
Air Transport,37,466768," $65,249 "," $116,568 "," $139,789.36 "," $249,735.41 ", $93 ,0.07%
Apparel,118,716206," $303,081 "," $70,676 "," $423,176.25 "," $98,681.20 ", $798 ,0.29%
Auto & Truck,31,848671," $74,642 "," $53,936 "," $87,951.55 "," $63,553.96 ", $671 ,0.12%
Auto Parts,59,1200456," $53,814 "," $140,775 "," $44,827.55 "," $117,268.19 "," $1,169 ",0.59%
Bank (Money Center),111,2361155," $650,728 "," $305,955 "," $275,597.32 "," $129,578.61 "," $2,999 ",0.59%
Banks (Regional),68,55972," $39,806 "," $8,227 "," $711,173.80 "," $146,987.78 ", $14 ,0.08%
Beverage (Alcoholic),51,475078," $363,297 "," $151,378 "," $764,711.04 "," $318,639.21 ", $772 ,0.46%
Beverage (Soft),16,75462," $14,185 "," $12,966 "," $187,977.13 "," $171,816.56 ", $58 ,0.18%
Broadcasting,25,84177," $8,832 "," $12,801 "," $104,921.77 "," $152,067.67 ", $56 ,0.15%
Brokerage & Investment Banking,74,29498," $28,166 "," $26,070 "," $954,828.02 "," $883,786.15 ", $133 ,0.45%
Building Materials,87,592912," $137,475 "," $70,191 "," $231,864.69 "," $118,383.79 ", $359 ,0.23%
Business & Consumer Services,204,2121693," $187,392 "," $156,590 "," $88,321.85 "," $73,804.43 ", $788 ,0.37%
Cable TV,5,15998," $6,192 "," $6,348 "," $387,023.38 "," $396,818.35 ", $18 ,0.26%
Chemical (Basic),62,67097," $24,972 "," $13,872 "," $372,175.06 "," $206,741.88 ", $16 ,0.08%
Chemical (Diversified),7,159042," $60,635 "," $113,545 "," $381,249.61 "," $713,928.40 ", $88 ,0.08%
Chemical (Specialty),100,496827," $462,024 "," $217,638 "," $929,950.26 "," $438,055.56 "," $1,430 ",0.50%
Coal & Related Energy,17,8338," $2,585 "," $1,081 "," $309,989.21 "," $129,595.59 ", $2 ,0.18%
