,,,,,,
,Value of 100 invested at start of 1928 in,,,,,
Year,S&P 500 (includes dividends)3,3-month T Bill4,US T Bond5,Baa Corporate Bond2,Real Estate2,Gold2
1928,$143 81,$103 08,$100 84,$103 22,$101 49,$100 10
1929,$131 88,$106 34,$105 07,$106 33,$99 40,$99 95
1930,$98 75,$111 18,$109 85,$106 91,$95 13,$100 05
1931,$55 46,$113 74,$107 03,$90 14,$87 38,$82 66
1932,$50 66,$114 96,$116 44,$111 41,$78 23,$100 24
1933,$75 99,$116 06,$118 60,$125 86,$75 25,$127 57
1934,$75 09,$116 39,$128 05,$149 54,$77 44,$168 07
1935,$110 18,$116 58,$133 78,$169 44,$85 00,$168 80
1936,$145 38,$116 78,$140 49,$188 73,$87 73,$168 94
1937,$94 00,$117 11,$142 43,$180 39,$89 98,$168 56
1938,$121 53,$117 18,$148 43,$197 05,$89 20,$168 85
1939,$120 20,$117 24,$154 98,$212 78,$88 04,$166 76
1940,$107 37,$117 28,$163 35,$231 18,$90 95,$164 00
1941,$93 66,$117 43,$160 04,$242 76,$83 32,$164 00
1942,$111 61,$117 83,$163 72,$255 33,$86 10,$164 00
1943,$139 59,$118 28,$167 79,$275 88,$95 95,$164 00
1944,$166 15,$118 73,$172 12,$293 99,$111 87,$164 00
1945,$225 67,$119 18,$178 67,$313 98,$125 04,$168 17
1946,$206 65,$119 63,$184 26,$321 85,$155 18,$168 17
1947,$217 39,$120 35,$185 95,$322 70,$188 17,$168 17
1948,$229 79,$121 61,$189 58,$333 79,$192 05,$168 17
1949,$271 85,$122 96,$198 42,$351 74,$192 22,$153 54
1950,$355 60,$124 44,$199 27,$366 65,$199 22,$168 22
1951,$439 80,$126 33,$198 68,$365 95,$211 26,$168 22
1952,$519 62,$128 51,$203 19,$382 20,$220 57,$167 64
1953,$513 35,$130 94,$211 61,$388 39,$245 98,$168 80
1954,$783 18,$132 17,$218 57,$412 31,$248 25,$169 77
1955,$1038 47,$134 45,$215 65,$420 74,$248 25,$169 72
1956,$1115 73,$137 97,$210 79,$410 84,$250 52,$169 53
1957,$999 05,$142 42,$225 11,$407 89,$257 33,$169 33
1958,$1435 84,$144 93,$220 39,$434 11,$259 03,$170 06
1959,$1608 95,$149 84,$214 56,$440 95,$259 31,$170 06
1960,$1614 37,$154 15,$239 53,$470 33,$261 30,$170 88
1961,$2044 40,$157 77,$244 46,$494 32,$263 85,$170 78
1962,$1864 26,$162 15,$258 38,$526 43,$264 70,$170 69
1963,$2285 80,$167 27,$262 74,$555 19,$270 38,$170 01
1964,$2661 02,$173 20,$272 53,$583 85,$273 78,$170 06
1965,$2990 97,$180 04,$274 49,$602 47,$278 32,$170 16
1966,$2692 74,$188 78,$282 47,$581 72,$281 72,$170 20
1967,$3333 69,$196 88,$278 01,$586 92,$288 25,$169 33
1968,$3694 23,$207 39,$287 11,$615 36,$300 17,$190 46
1969,$3389 77,$221 22,$272 71,$602 90,$321 16,$200 00
1970,$3510 49,$235 36,$318 41,$636 96,$347 55,$181 10
1971,$4009 72,$245 56,$349 57,$726 14,$362 30,$211 34
1972,$4761 76,$255 53,$359 42,$808 99,$373 08,$314 44
