,,,,,,,
,Annual Real Returns,,,,,,
Year,Inflation Rate,S&P 500 (includes dividends)2,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold
1928,-1.16%,45.49%,4.29%,2.01%,4.43%,2.68%,1.27%
1929,0.58%,-8.83%,2.56%,3.60%,2.42%,-2.63%,-0.73%
1930,-6.40%,-20.01%,11.69%,11.68%,7.41%,2.24%,6.94%
1931,-9.32%,-38.07%,12.82%,7.45%,-7.02%,1.29%,-8.90%
1932,-10.27%,1.82%,12.64%,21.25%,37.74%,-0.21%,35.16%
1933,0.76%,48.85%,0.20%,1.08%,12.11%,-4.54%,26.30%
1934,1.52%,-2.66%,-1.22%,6.35%,17.04%,1.37%,29.78%
1935,2.99%,42.49%,-2.74%,1.44%,10.02%,6.58%,-2.48%
1936,1.45%,30.06%,-1.26%,3.52%,9.79%,1.74%,-1.34%
1937,2.86%,-37.13%,-2.51%,-1.44%,-7.07%,-0.29%,-3.00%
1938,-2.78%,32.98%,2.92%,7.19%,12.36%,1.96%,3.03%
1939,0.00%,-1.10%,0.05%,4.41%,7.98%,-1.30%,-1.23%
1940,0.71%,-11.31%,-0.67%,4.65%,7.88%,2.57%,-2.35%
1941,9.93%,-20.65%,-8.91%,-10.87%,-4.48%,-16.66%,-9.03%
1942,9.03%,9.30%,-7.97%,-6.18%,-3.53%,-5.23%,-8.28%
1943,2.96%,21.47%,-2.50%,-0.46%,4.94%,8.24%,-2.87%
1944,2.30%,16.36%,-1.88%,0.27%,4.17%,13.96%,-2.25%
1945,2.25%,32.84%,-1.83%,1.52%,4.45%,9.32%,0.29%
1946,18.13%,-22.48%,-15.03%,-12.70%,-13.23%,5.05%,-15.35%
1947,8.84%,-3.34%,-7.57%,-7.27%,-7.88%,11.42%,-8.12%
1948,2.99%,2.63%,-1.89%,-1.01%,0.43%,-0.91%,-2.90%
1949,-2.07%,20.81%,3.26%,6.88%,7.61%,2.21%,-6.77%
1950,5.93%,23.48%,-4.46%,-5.19%,-1.60%,-2.16%,3.43%
1951,6.00%,16.68%,-4.23%,-5.94%,-5.84%,0.04%,-5.66%
1952,0.75%,17.27%,0.96%,1.50%,3.66%,3.62%,-1.09%
1953,0.75%,-1.94%,1.13%,3.37%,0.86%,10.69%,-0.06%
1954,-0.74%,53.71%,1.69%,4.06%,6.95%,1.68%,1.33%
1955,0.37%,32.10%,1.34%,-1.70%,1.66%,-0.37%,-0.40%
1956,2.99%,4.33%,-0.35%,-5.09%,-5.18%,-2.01%,-3.01%
1957,2.90%,-12.98%,0.32%,3.79%,-3.52%,-0.18%,-2.93%
1958,1.76%,41.23%,0.01%,-3.79%,4.59%,-1.08%,-1.31%
1959,1.73%,10.15%,1.63%,-4.30%,-0.15%,-1.59%,-1.70%
