,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Annual Returns on Investments in,,,,,
Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond, Baa Corporate Bond,Real Estate,Gold*
1928,43.81%,3.08%,0.84%,3.22%,1.49%,0.10%
1929,-8.30%,3.16%,4.20%,3.02%,-2.06%,-0.15%
1930,-25.12%,4.55%,4.54%,0.54%,-4.30%,0.10%
1931,-43.84%,2.31%,-2.56%,-15.68%,-8.15%,-17.38%
1932,-8.64%,1.07%,8.79%,23.59%,-10.47%,21.28%
1933,49.98%,0.96%,1.86%,12.97%,-3.81%,27.26%
1934,-1.19%,0.28%,7.96%,18.82%,2.91%,31.75%
1935,46.74%,0.17%,4.47%,13.31%,9.77%,0.43%
1936,31.94%,0.17%,5.02%,11.38%,3.22%,0.09%
1937,-35.34%,0.28%,1.38%,-4.42%,2.56%,-0.23%
1938,29.28%,0.07%,4.21%,9.24%,-0.87%,0.17%
1939,-1.10%,0.05%,4.41%,7.98%,-1.30%,-1.23%
1940,-10.67%,0.04%,5.40%,8.65%,3.31%,-1.66%
1941,-12.77%,0.13%,-2.02%,5.01%,-8.38%,0.00%
1942,19.17%,0.34%,2.29%,5.18%,3.33%,0.00%
1943,25.06%,0.38%,2.49%,8.04%,11.45%,0.00%
1944,19.03%,0.38%,2.58%,6.57%,16.58%,0.00%
1945,35.82%,0.38%,3.80%,6.80%,11.78%,2.54%
1946,-8.43%,0.38%,3.13%,2.51%,24.10%,0.00%
1947,5.20%,0.60%,0.92%,0.26%,21.26%,0.00%
1948,5.70%,1.05%,1.95%,3.44%,2.06%,0.00%
1949,18.30%,1.12%,4.66%,5.38%,0.09%,-8.70%
1950,30.81%,1.20%,0.43%,4.24%,3.64%,9.56%
1951,23.68%,1.52%,-0.30%,-0.19%,6.05%,0.00%
1952,18.15%,1.72%,2.27%,4.44%,4.41%,-0.35%
1953,-1.21%,1.89%,4.14%,1.62%,11.52%,0.69%
1954,52.56%,0.94%,3.29%,6.16%,0.92%,0.57%
1955,32.60%,1.72%,-1.34%,2.04%,0.00%,-0.03%
1956,7.44%,2.62%,-2.26%,-2.35%,0.91%,-0.11%
1957,-10.46%,3.22%,6.80%,-0.72%,2.72%,-0.11%
1958,43.72%,1.77%,-2.10%,6.43%,0.66%,0.43%
1959,12.06%,3.39%,-2.65%,1.57%,0.11%,0.00%
1960,0.34%,2.87%,11.64%,6.66%,0.77%,0.48%
1961,26.64%,2.35%,2.06%,5.10%,0.98%,-0.06%
1962,-8.81%,2.77%,5.69%,6.50%,0.32%,-0.06%
1963,22.61%,3.16%,1.68%,5.46%,2.14%,-0.40%
1964,16.42%,3.55%,3.73%,5.16%,1.26%,0.03%
1965,12.40%,3.95%,0.72%,3.19%,1.66%,0.06%
1966,-9.97%,4.86%,2.91%,-3.45%,1.22%,0.03%
1967,23.80%,4.29%,-1.58%,0.90%,2.32%,-0.51%
1968,10.81%,5.34%,3.27%,4.85%,4.13%,12.47%
