Date updated:,5-Jan-23,,,,,,,,,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,,,
What is this data?,Tax Rates (Effective),,,,US companies,,,,,
Home Page:,http://www.damodaran.com,,,,,,,,,
Data website:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/data.html,,,,,,,,,
Companies in each industry:,https://pages.stern.nyu.edu/~adamodar/pc/datasets/indname.xls,,,,,,,,,
Variable definitions:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm,,,,,,,,,
,,, $ Taxes ,,,Effective Tax Rates,,,Cash Tax Rates,
Industry name,Number of firms,Total Taxable Income,Total Taxes Paid (Accrual),Total Cash Taxes Paid,Cash Taxes/Accrual Taxes,Average across all companies,Average across only money-making companies,Aggregate tax rate,Average across only money-making companies2,Aggregate tax rate3
Advertising,58," $3,891.41 ", $961.68 ,940.393,97.79%,6.39%,24.71%,37.70%,24.17%,34.69%
Aerospace/Defense,77," $30,920.17 "," $5,106.38 ",7441.776,145.73%,8.60%,16.51%,23.80%,24.07%,38.74%
Air Transport,21," $1,820.39 ", $655.21 ,240.024,36.63%,10.47%,35.99%,NA,13.19%,NA
Apparel,39," $5,422.69 "," $1,112.11 ",1479.292,133.02%,12.04%,20.51%,20.69%,27.28%,32.10%
Auto & Truck,31," $33,358.20 "," $3,529.00 ",2446.896,69.34%,3.00%,10.58%,7.94%,7.34%,11.37%
Auto Parts,37," $4,200.23 ", $905.55 ,1298.506,143.39%,9.30%,21.56%,33.68%,30.92%,42.92%
Bank (Money Center),7," $124,977.19 "," $21,450.27 ",12205,56.90%,16.25%,17.16%,17.16%,9.77%,9.77%
Banks (Regional),557," $85,659.23 "," $18,035.35 ",32391.214,179.60%,18.84%,21.05%,21.04%,37.81%,37.82%
Beverage (Alcoholic),23," $2,643.69 ", $923.34 ,804.714,87.15%,9.39%,34.93%,36.06%,30.44%,31.41%
Beverage (Soft),31," $28,431.20 "," $5,170.93 ",5315.261,102.79%,6.42%,18.19%,18.54%,18.70%,18.88%
Broadcasting,26," $11,808.34 "," $2,592.14 ",1261.26,48.66%,15.76%,21.95%,21.91%,10.68%,11.17%
Brokerage & Investment Banking,30," $52,532.78 "," $10,939.42 ",12537.104,114.60%,15.32%,20.82%,21.39%,23.87%,24.48%
Building Materials,45," $19,465.75 "," $4,291.34 ",4094.025,95.40%,16.71%,22.05%,22.92%,21.03%,21.79%
Business & Consumer Services,164," $18,477.28 "," $4,164.27 ",4534.729,108.90%,9.43%,22.54%,28.40%,24.54%,32.35%
Cable TV,10," $25,912.30 "," $7,726.20 ",6595.7,85.37%,21.95%,29.82%,29.82%,25.45%,25.45%
Chemical (Basic),38," $19,590.78 "," $4,107.52 ",2257.59,54.96%,9.83%,20.97%,20.12%,11.52%,11.61%
Chemical (Diversified),4," $2,819.50 ", $494.90 ,344.32,69.57%,12.02%,17.55%,17.57%,12.21%,12.23%
