Date updated:,5-Jan-23,,,,,,,,,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,,,
What is this data?,Effective tax rate on income (based on accrual taxes and income),,,,China,,,,,
Home Page:,http://www.damodaran.com,,,,,,,,,
Data website:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/data.html,,,,,,,,,
Companies in each industry:,https://pages.stern.nyu.edu/~adamodar/pc/datasets/indname.xls,,,,,,,,,
Variable definitions:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm,,,,,,,,,
,,,,,,Effective Tax Rates,,,Cash Tax Rates,
Industry name,Number of firms,Total Taxable Income,Total Taxes Paid (Accrual),Total Cash Taxes Paid,Cash Taxes/Accrual Taxes,Average across all companies,Average across only money-making companies,Aggregate tax rate,Average across only money-making companies,Aggregate tax rate
Advertising,67," $1,586.77 ", $262.34 ,598.678,228.20%,8.18%,16.53%,30.97%,37.73%,65.41%
Aerospace/Defense,63," $3,182.70 ", $329.14 ,1537.579,467.15%,8.41%,10.34%,11.65%,48.31%,56.33%
Air Transport,17, $54.53 , $3.55 ,1101.05,31032.98%,3.21%,6.51%,NA,2019.16%,NA
Apparel,212," $9,874.13 "," $1,957.85 ",3121.196,159.42%,10.66%,19.83%,27.99%,31.61%,42.70%
Auto & Truck,34," $16,425.22 "," $2,431.45 ",7202.305,296.21%,7.57%,14.80%,18.21%,43.85%,54.35%
Auto Parts,199," $7,973.29 ", $988.91 ,3123.963,315.90%,9.20%,12.40%,18.14%,39.18%,50.25%
Bank (Money Center),26," $322,917.50 "," $47,522.80 ",103062.3,216.87%,13.67%,14.72%,14.72%,31.92%,31.92%
Banks (Regional),35," $30,566.00 "," $3,818.09 ",10155.67,265.99%,10.81%,12.49%,12.29%,33.23%,33.23%
Beverage (Alcoholic),44," $28,440.18 "," $7,172.50 ",20455.601,285.19%,20.11%,25.22%,25.32%,71.93%,72.25%
Beverage (Soft),5," $1,993.66 ", $461.67 ,525.886,113.91%,28.73%,23.16%,23.16%,26.38%,26.38%
Broadcasting,7, $148.50 , $0.55 ,32.319,5833.75%,0.13%,0.37%,NA,21.76%,NA
Brokerage & Investment Banking,105," $28,028.97 "," $4,893.61 ",10709.937,218.86%,11.89%,17.46%,18.36%,38.21%,40.58%
Building Materials,67," $4,053.18 ", $546.54 ,1297.227,237.35%,9.64%,13.48%,12.38%,32.01%,40.51%
Business & Consumer Services,122," $1,786.89 ", $303.11 ,1092.089,360.30%,11.41%,16.96%,88.04%,61.12%,341.04%
Cable TV,12, $541.37 , $41.99 ,193.174,460.04%,3.19%,7.76%,39.30%,35.68%,154.92%
Chemical (Basic),274," $30,247.84 "," $4,811.29 ",12592.645,261.73%,12.33%,15.91%,16.26%,41.63%,43.74%
Chemical (Diversified),8," $2,641.60 ", $378.45 ,631.502,166.87%,8.95%,14.33%,16.45%,23.91%,24.89%
