Date updated:,5-Jan-23,,,,,,,,,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,,,
What is this data?,Effective tax rate on income (based on accrual taxes and income),,,,Western Europe,,,,,
Home Page:,http://www.damodaran.com,,,,,,,,,
Data website:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/data.html,,,,,,,,,
Companies in each industry:,https://pages.stern.nyu.edu/~adamodar/pc/datasets/indname.xls,,,,,,,,,
Variable definitions:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm,,,,,,,,,
,,,,,,Effective Tax Rates,,,Cash Tax Rates,
Industry name,Number of firms,Total Taxable Income,Total Taxes Paid (Accrual),Total Cash Taxes Paid,Cash Taxes/Accrual Taxes,Average across all companies,Average across only money-making companies,Aggregate tax rate,Average across only money-making companies,Aggregate tax rate
Advertising,86," $4,232.30 ", $982.85 ,1293.824,131.64%,12.57%,23.22%,24.65%,30.57%,34.30%
Aerospace/Defense,56," $13,037.43 "," $2,312.40 ",2080.163,89.96%,12.76%,17.74%,16.84%,15.96%,64.13%
Air Transport,37," $6,640.36 "," $1,172.08 ",217.967,18.60%,13.00%,17.65%,19.73%,3.28%,6.13%
Apparel,118," $60,969.00 "," $15,334.24 ",16055.561,104.70%,12.85%,25.15%,25.34%,26.33%,26.50%
Auto & Truck,31," $66,778.79 "," $13,853.72 ",11303.778,81.59%,11.41%,20.75%,20.92%,16.93%,17.14%
Auto Parts,59," $4,704.30 "," $1,663.10 ",2443.353,146.92%,19.41%,35.35%,43.96%,51.94%,56.77%
Bank (Money Center),111," $178,838.15 "," $41,310.09 ",12529.083,30.33%,21.38%,23.10%,23.35%,7.01%,7.10%
Banks (Regional),68," $7,075.43 "," $1,233.18 ",549.393,44.55%,17.53%,17.43%,17.83%,7.76%,7.99%
Beverage (Alcoholic),51," $30,961.05 "," $7,202.84 ",4456.641,61.87%,16.76%,23.26%,23.28%,14.39%,14.41%
Beverage (Soft),16," $3,319.59 ", $850.34 ,696.514,81.91%,19.73%,25.62%,25.97%,20.98%,21.13%
Broadcasting,25," $3,572.76 "," $1,100.57 ",1167.487,106.08%,15.38%,30.80%,30.97%,32.68%,32.89%
Brokerage & Investment Banking,74," $3,475.47 ", $703.02 ,450.062,64.02%,16.92%,20.23%,20.18%,12.95%,13.00%
Building Materials,87," $15,535.48 "," $2,961.83 ",3545.965,119.72%,15.10%,19.06%,18.92%,22.82%,22.86%
Business & Consumer Services,204," $15,206.90 "," $3,953.82 ",4227.911,106.93%,17.60%,26.00%,37.38%,27.80%,40.12%
Cable TV,5," $1,765.90 ", $233.90 ,381.1,162.93%,9.45%,13.25%,14.19%,21.58%,22.93%
Chemical (Basic),62," $1,849.45 ", $224.00 ,250.847,111.99%,12.44%,12.11%,NA,13.56%,14.79%
Chemical (Diversified),7," $9,998.50 "," $2,050.60 ",2022.28,98.62%,17.84%,20.51%,20.51%,20.23%,20.23%
