Date updated:,5-Jan-23,,,,,,,,,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,,,
What is this data?,Effective tax rate on income (based on accrual taxes and income),,,,India,,,,,
Home Page:,http://www.damodaran.com,,,,,,,,,
Data website:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/data.html,,,,,,,,,
Companies in each industry:,https://pages.stern.nyu.edu/~adamodar/pc/datasets/indname.xls,,,,,,,,,
Variable definitions:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm,,,,,,,,,
,,,,,,Effective Tax Rates,,,Cash Tax Rates,
Industry name,Number of firms,Total Taxable Income,Total Taxes Paid (Accrual),Total Cash Taxes Paid,Cash Taxes/Accrual Taxes,Average across all companies,Average across only money-making companies,Aggregate tax rate,Average across only money-making companies,Aggregate tax rate
Advertising,13, $40.77 , $5.75 ,6.083,105.77%,21.26%,14.11%,15.46%,14.92%,16.34%
Aerospace/Defense,13," $1,539.01 ", $248.57 ,451.79,181.75%,25.61%,16.15%,16.15%,29.36%,29.36%
Air Transport,6, $25.01 , $11.15 ,65.4,586.55%,12.33%,44.58%,NA,261.50%,NA
Apparel,323," $3,168.42 ", $702.29 ,590.038000000001,84.02%,17.64%,22.17%,33.16%,18.62%,28.45%
Auto & Truck,12," $4,283.13 ", $938.23 ,981.219,104.58%,14.76%,21.91%,34.98%,22.91%,27.45%
Auto Parts,107," $2,315.12 ", $622.50 ,567.461,91.16%,21.71%,26.89%,27.48%,24.51%,24.79%
Bank (Money Center),32," $29,503.50 "," $3,703.78 ",6495.43,175.37%,14.18%,12.55%,12.23%,22.02%,22.02%
Banks (Regional),5," $1,009.38 ", $243.15 ,192.447,79.15%,20.87%,24.09%,24.09%,19.07%,19.07%
Beverage (Alcoholic),19, $413.09 , $95.59 ,102.574,107.31%,14.53%,23.14%,23.20%,24.83%,24.93%
Beverage (Soft),5, $243.92 , $58.41 ,0.142,0.24%,8.60%,23.95%,23.91%,0.06%,0.06%
Broadcasting,17, $628.09 , $153.20 ,153.1,99.94%,13.38%,24.39%,24.67%,24.38%,24.71%
Brokerage & Investment Banking,174, $821.41 , $197.36 ,242.391,122.82%,13.79%,24.03%,28.87%,29.51%,34.99%
Building Materials,48, $417.17 , $104.30 ,110.039,105.50%,17.68%,25.00%,27.93%,26.38%,29.71%
Business & Consumer Services,58, $621.87 , $144.05 ,195.759,135.90%,12.00%,23.16%,23.07%,31.48%,32.33%
Cable TV,8, $70.07 , $11.32 ,11.5,101.55%,6.64%,16.16%,NA,16.41%,NA
Chemical (Basic),128," $3,707.31 ", $867.09 ,716.424,82.62%,20.03%,23.39%,23.81%,19.32%,19.70%
Chemical (Diversified),10," $1,023.68 ", $281.06 ,218.531,77.75%,26.39%,27.46%,27.46%,21.35%,21.35%
Chemical (Specialty),167," $5,898.70 "," $1,368.51 ",1241.274,90.70%,21.17%,23.20%,23.60%,21.04%,21.47%
